,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,-0.8181818,-1.0,-0.4827586,-0.6,-0.6,-0.6,-0.6,-1.0,-1.0,-0.7033,-0.8608761,-0.8213822,-0.6797245,-0.8387038,-0.47804254,-0.99656576,-0.99762505,-1.0,-1.0,-1.0,-0.9935687
1,-0.47474748,1.0,-0.5862069,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.70285046,-0.85725266,-0.8260458,-0.5725433,-0.8290539,-0.46369654,-0.98755884,-0.998632,-0.87301683,-0.9843285,-0.9552996,-0.99246025
2,-0.7777778,1.0,-0.37931034,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.50406826,-0.64527744,-0.69878,-0.45838398,-0.60524935,-0.29549277,-0.9901093,-0.99501264,-0.99062544,-0.9861514,-0.9793683,-0.98411095
3,0.01010101,1.0,-0.06896552,-0.6,-0.6,-0.6,-0.6,-0.6,-0.8,-0.50588757,-0.68391055,-0.7474471,-0.55774474,-0.7910293,-0.44147664,-0.979351,-0.9905003,-0.95535916,-0.9225765,-0.8884437,-0.9148688
4,-0.8181818,1.0,-0.51724136,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5666597,-0.713953,-0.7380541,-0.54455316,-0.7046896,-0.3731955,-0.9918036,-0.9959163,-0.9944779,-0.9922705,-0.9882775,-0.9904552
5,-0.9191919,-1.0,0.27586207,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.60916066,-0.7668538,-0.77191573,-0.61452395,-0.79377,-0.44960412,-0.995421,-0.99797773,-0.99686176,-0.9976779,-0.9969756,-0.99751073
6,-0.7979798,-1.0,-0.55172414,-0.8,-0.8,-0.2,-0.8,-0.8,-0.6,-0.67880815,-0.83173704,-0.8263335,-0.6732813,-0.83015853,-0.47691596,-0.99081224,-0.9999976,-0.9923441,-0.9860902,-0.99999064,-0.9927932
7,-0.85858583,1.0,-0.82758623,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.64343226,-0.81044656,-0.795138,-0.6563519,-0.8361099,-0.47812247,-0.9965429,-0.99752414,-0.99944645,-0.99991626,-0.99975616,-1.0
8,-0.9191919,1.0,-0.55172414,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6633616,-0.81998616,-0.7710625,-0.63030785,-0.80151016,-0.44849136,-0.99656576,-0.99726886,-0.9937503,-0.9967794,-0.9946076,-0.9962169
9,-0.01010101,-1.0,-0.4827586,-0.8,-0.8,-0.8,-0.6,-0.6,-0.6,-0.7062608,-0.8655795,-0.8061946,-0.4598723,-0.45301807,-0.17763688,-0.99761206,-0.97716504,-0.7766573,-0.69564253,-0.95310986,-0.8486757
